Posted date,Star rating,Review text,Source,Fetched at (UTC)
"February 4, 2026",1,"DHL use a grubby and intimidating debt recovery firm, Control Account, to intimidate people in dispute with DHL over payments for courier services. Control Account seek to add a huge admin fee to a late or disputed payment. They have no legal right to do so. DHL need to get a more reputable company to follow up late payments.",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 4, 2026",1,"It's like they just don't want to deal with their job. Really dumb company with mutliple point of contact that are all unskilled and never talk to each others. Really unreliable. Sometimes has dishonest practices. Sometimes only speak in german, often has trouble providing copies of invoices. I asked my suppliers to never use DHL to ship anything to me.",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"Paid for 3 day express delivery under signature release, did my part, paid the tariffs quickly and on time. Package is out for delivery on the 3rd day, driver is about 10 miles away when he says ""unable to deliver - no one was home"". He was 10 miles away, how could he have attempted delivery? Even if, Lets say he had an invisible truck to come deliver my parcel, it was signature release, he should have left it at the gate, never using DHL again.",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",5,"Could improve immensely knocking a door would get the attention of the person inside. Was at home all day and needed to sign for the said parcel left card instead contact with a human is impossible all aspects of contact are ai generated would not use DHL well faith in human nature has been restored. between the DHL driver and a member of staff they sorted my delivery, my parcel arrived to day the driver went above and beyond knowing he was going to be early and sorted it see when the leave the computers out things get done right thank you to those concerned top job",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"PLEASE BEWARE! Do not use this company for shipping parcels. There customer service is designed to frustrate and complcate any claim you submit . Their drivers are untrustworthy and incompetent. They do not show up at your property but mark your items as delivered. Apparently, they circumnavigate entry to your property in stealth mode bypassing motion detecting cctv & ring doorbells. They even do it to your neighbours cameras aswell. DO NOT USE THIS AWFUL COMPANY.",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,By far the worst company I have ever had the misfortune of trying to deal with. Full of lies and miss information regarding deliveries. In future I will not be ordering from any company that uses DHL,Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"The parcel was left outdoors in pouring rain, it was left there 30 minutes before stated delivery time. Very poor service!",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,Terrible. Never show up on time they say and today not at all on an urgent parcel required. Get no help online or by phone.,Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"January 26, 2026",1,"Waited 2 days for a parcel delivery, watched as the first day I was 111 in the queue, he got to around 80, second day I was 113, that person got to around 60-70, I realised at this rate the parcel was never getting to me. I then rerouted the parcel via a collection point, it took them 5 days to get it there, finally got the parcel and it had clearly been tampered with, the outside had a hole in it and the packaging around the item had been smashed at one end, no doubt to see what was inside. DHL is the worst service in the industry, by a country mile, we never have this problem with DPD, yet sellers insist on using these people. DO NOT TOUCH WITH A BARGEPOLE.",Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
"February 2, 2026",1,Tracking number 4809860705. Item was damaged through the bag on arrival. Lost all the powder,Trustpilot – DHL (www.dhl.com),2026-02-04T15:47:37.332534+00:00
6-Feb-26,1,"Twice I’ve ordered items from different…Lost hope
Twice I’ve ordered items from different shops online, both items have got damaged, second item delayed and gone missing! Absolutely useless, don’t know why certain shops use them ..",Trustpilot – DHL (www.dhl.com),
2-Feb-26,1,"About as bad as a carrier can be. I really needed this item promptly: Day one - right towards the end of the suggested delivery window the tracking was updated to 'will deliver tomorrow as road was closed'. No road was closed - made up nonsense. Day two - needed the package even more now and, right towards the end of the suggested delivery window the tracking was updated to 'will deliver tomorrow, road traffic accident'. Unlike the closed road, I can't check on the legitimacy of that claim, but surely made up rubbish also. Decided to change the delivery location from my house to a local pick up point. When I went to pick it up from there the DHL software wasn't working and I had to wait ages for them to get it for me. They seem to have no interest in actually delivering the things they're being paid to deliver. In the old days a firm like this would have simply gone out of business. Not now - we'll put up with anything won't we?",Trustpilot – DHL (www.dhl.com),
8-Feb-26,1,"if I had literally any other option…
Since the removal of de minimis and all the BS that comes with it, DHL is the only courier available for my goods from Japan. They charged me $130 to ship a 3 pound box of nothing but aluminum pins (small!) and I had to pay $60 in import fees. You’d think for the exorbitant costs they’d at least be fast, right? Wrong! My box reached my local hub 20 minutes from me on Friday but missed the truck. It now won’t be delivered until Monday. I know they’ve done Saturday deliveries in the past, or handed things off to USPS for Sundays! Why am I paying so much for such mediocre service?",Trustpilot – DHL (www.dhl.com),
8-Feb-26,1,"USELESS, HOPELESS INCOMPETENCE
We were given delivery time for our package: sat there,near the front door waiting and NOTHING!!!
Next, received a message saying they called and no response.
We have a loud doorbell which was not used.
Useless, hopeless incompetence.
six emails later:-NOTHING!!!Where is it?",Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,Dogshit company. Never gave me updates on my package and I never received the package but they said they shipped it with confirmation so they weren't liable.,Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,"Delivery stuck at main hub was ment to be a next day delivery 5 days later it made its way to my local delivery hub get a txt saying out for delivery then another saying delay for 24hrs ring main number they can’t get hold of them go down there get told delivery drivers are lazy and won’t load such a large parcel .

They will after my lorry’s block the gates.
If it’s fine to cost me money then I’m sure it’s fine to cost you money.

Worst company ever ( the new Hermes )",Trustpilot – DHL (www.dhl.com),
6-Feb-26,5,"it works
Delivered some docs. Poland, Portugal, Argentina, Spain - works.

If you want assist sending from country your are not from - use VPN and global esim services.",Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,"0/4 parcels delivered
Out of 4 parcels that DHL had to deliver recently not a single one was delivered. The ones that required signatures they just repeatedly marked me as not home although I was home on every occasion and they did not ring or make any attempt to deliver. One parcel they just left in a random unapproved location where no other couriers leave parcels.

They are absolutely the worst courier service.",Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,"Like everyone else, this is hands down the worst delivery company to possibly exist.

Delivery expected 9th. Get a notification it'll arrive 7th at 1:50pm. Driver rocks up and 11:10 when I'm not home, and leaves no calling card.

No customer service to call, no note. Nothing.

I wish businesses would stop using them.",Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,"How much longer can this company survive? Ive just notice the reviews, all negative.
Ordered from starlink. Package due to arrive Wed 4th Feb. Waited in package didn't arrive, was advised driver could not deliver it.
Received message package out for delivery on the 5th, Package didn't arrive.
Received a message package out for delivery on the 6th,
Package didn't arrive.
Tried contacting DHL, just got a machine.
Can't wait to see how much more of my time I need to waste for undelivered items",Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,"DO NOT USE !!!
Delivery due on 3rd February, supposed to deliver the following day but no sign of my parcel since then.
Spoke with a bot who said an adviser would contact me but this hasn’t happened.
I’d give this company no stars if I could !!",Trustpilot – DHL (www.dhl.com),
7-Feb-26,1,"Not Accountable
am possibly dealing with the worst branch of all in Lithuania! these guys are so incompetent, its crazy. they fail to follow up efficiently or be transparent about procedural steps, barely speak English and are super anti-social. How do you even get hired!",Trustpilot – DHL (www.dhl.com),
6-Feb-26,1,"Never turned up. No communication
Waiting in all day for a scheduled delivery and by 8.30 that night still nothing, not even a text to say they were coming. Won’t buy from companies using dhl from now on. This is last in a long line of let downs",Trustpilot – DHL (www.dhl.com),
6-Feb-26,1,"0 out of 5
DHL are, without a shadow of a doubt, the worst courier service available. Text me an hour slot to deliver on Tuesday but did not arrive. Rearranged for Friday delivery to a service post but did not text me a delivery slot. Package did not arrive. At 21:20 the online tracking updated to say they could not deliver to the service point despite it being open until 22:00.

I have no idea where my package is and I have no faith I’ll ever receive it",Trustpilot – DHL (www.dhl.com),
6-Feb-26,1,"Warning to anyone considering DHL for fast or reliable delivery.
I sent my house keys via DHL using a service advertised as 2–3 business days. Nearly two weeks later, the keys are still sitting in a DHL depot in Istanbul, undelivered.
The recipient was told to complete a customs form that DHL never sent. When the recipient went to the DHL depot in person to resolve this, DHL claimed they couldn’t help and told them to call instead.
I paid for the shipment and sent it while staying at my brother’s address in Denmark. I am now in the UK. Despite this, DHL refuses to speak to me, does not respond to my brother, and ignores the recipient’s correspondence as well.
To make matters worse:
The phone number listed on DHL’s website is not recognised
Online chat disconnected without taking any details or offering help
This has been one of the most unhelpful and frustrating customer service experiences I’ve had. If you need something delivered quickly, reliably, or with support when things go wrong, I strongly suggest looking elsewhere.
TEMU arrange a faster and more reliable service from China to anywhere. They respond to enquiries with upmost respect. DHL should send their staff to TEMU for training!",Trustpilot – DHL (www.dhl.com),
6-Feb-26,1,"Lied about an attempted delivery I had waited in all day for, plus I have a door bell camera no attempt was ever made what a sham of a company",Trustpilot – DHL (www.dhl.com),
6-Feb-26,1,"Didn't wait to see if we were in
The door bell rang. By the time we got to the door the driver was back in their vehicle and the parcel was on the doorstep in full view, no-one checked that we were in.
Shipment number: 31517712540701",Trustpilot – DHL (www.dhl.com),
3-Feb-26,1,"What a shambles quite frankly, they claim they attempted delivery but that was a lie, then when you specify delivery to one of their pick up locations they can’t even do that. My package is currently sat at a depot waiting for what I’m not sure. No business should use this company.",Trustpilot – DHL (www.dhl.com),
6-Feb-26,1,"Probably the worst delivering company!
Been waiting for my package and it keeps saying the same thing.No real support only a bot.Such a disappointment.",Trustpilot – DHL (www.dhl.com),
