Posted date,Star rating,Review text,Source,Fetched at (UTC)
"February 3, 2026",1,"Packages NEVER come on time. EVER. Honestly don't even know how the BBB hasn't taken them down for false advertising. Package needs a signature, tried calling and got hung up on TWICE. Tied too change to pick ups in store to no avail. EFF UPS SERIOUSLY I NEED THIS PACKAGE",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,My experience with UPS has been HORRIBLE. Getting accurate information for the delivery date was near impossible after I paid to have the day switched. The fellow who delivered my package dropped it on the snow in front of my garage. He refused to bring it into the house saying it was too heavy. I then picked it up myself and instructed hit to pick up the other end. He left his end on the steps in front of my house. I was able to bring the package inside. The exterior of my package was filthy. The delivery guy was a pig and rude !!!!,Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"January 27, 2026",1,"My package has been delayed for over a week , the drivers are LAZY. They make all excuses for the drivers which is unacceptable.",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"Had to chase delivery information via email and then tracking. Was advised delivery address cannot be accessed due to ""security code"" missing. No such security exists, if driver did call to the house, he didn't leave a card. Tried to change delivery address online, as""guest login"". Doesn't work. Customer ""service"" is a chat bot, running round in circles. Terrible system, catastrophic service. Can't speak to an agent, no option.",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"No matter when i get a package delivered by ups, they always deliver it late or dont use my buildings buzzer. when ever i get the choice to choose delivery companys i will go out of my way to pay more, just to avoid ups",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"January 21, 2026",1,Use anyone else but UPS. I have never had such a bad experience. My package has been lost twice delayed 5x and I still have no clue where its at. I even contacted them and 3 days later still no response. I will never shop from anywhere else that only has UPS as a shipping option.,Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,I would give negative stars if I could I’ll never use UPS again I ordered a package overseas 6 months ago never received the package but was still billed $105.30 and they make it so annoying to get the bill thrown out in the garbage where ups belongs that it was easier to just pay the bill i didn’t owe bunch of f-ing criminals at ups I’m disgusted .,Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"Ordered 5 blinds for me new home that were shipped by UPS. Beware how your shipment may arrive. Absolutely bonkers courier service by UPS. 1 blind deposited at a UPS collection location at 1pm today. 4 other blinds part the same shipment left in the rain in my garden at 230pm. Got home 4hrs later to 4 saturated boxes with my new blinds inside. And I now have the customer first inconvenience of picking up the blind deposited at a local Londis or wait 48hrs for redelivery. Lovely thanks UPS you don't live up to all of your values ""Customer First, People Led, and Innovation Driven, aiming to deliver, connect, and empower.""",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"This delivery company is the absolute worst!!!!! They lied and still have my package for over a week!!!! They will not allow me to pic it up, they will not tell the truth about where my package actually is!!! The definitely stole my stuff!! I’m so over this. They need to be out of business ASAP",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
"February 3, 2026",1,"UPS customer service doesn’t give a shit about you. This is in reference to a prescription order shipped through UPS for my chemotherapy medicine. My order was received at the Chelmsford Massachusetts UPS hub on January 29. This order status did non-update throughout the following weekend and still has not updated. I called customer service and was told that the order is lost. No one did anything other than look at the status that I could see. I informed the customer service rep that this is a critical medication and I needed it ASAP. I was told that I needed to contact the shipper so they can submit a claim. No one was willing to ask any further questions reach out to other departments or make any phone calls. I felt like my issue did not matter to the customer service rep, especially when this is such a critical medication that I am now delayed on starting. The company that shipped it for me has already started working on a replacement hopefully UPS will have their shit together with this one and I’ll get it in a timely manner.",Trustpilot – UPS (www.ups.com),2026-02-04T15:47:37.332534+00:00
