Posted date,Star rating,Review text,Source,Fetched at (UTC)
"February 2, 2026",1,"Ordered 3 packages on January 23rd 2026, 2 came via Amazon, the other 2 are USPS and have yet to arrive. One package has not moved at all in days, it sits about 18 miles away from me. This package is currently 3 days later than an already adjusted date. Another had no tracking info for days, just a ""in transit"" statement. It now sits about 45 miles away and has not moved in 4 days. Tracking now claims it will arrive today, but the mail has already run. In 1995, my Grandma could get a letter to me on time or early, despite being 14,000 miles away. In 2026, USPS can't manage to deliver a letter/package 20 miles.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"February 2, 2026",1,"Everytime I order something through Amazon and they end up using USPS, my packages either are lost in transit or delivered 2 weeks late. 3/4 of the time they are lost. I've had to cancel orders cause of this issue. Unacceptable... UPS, FEDEX, and Amazon take more pride in their delivery than USPS.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"February 2, 2026",1,They glitched on a label I was trying to create and then glitched when I tried to get my refund. I'm cutting my losses and going to a physical Post Office because their website sucks.,Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"February 1, 2026",3,"Never got my package yesterday but yet it is marked as ""delivered"". I sat here all day yesterday, doorbell never rang! I'm sitting here at home, once again, missing my doctor appt., to see if this package arrives. Whoever hires them for their courier service are going to lose business, because it appears they just don't care these days when it comes to accurate deliveries. How is a package delivered and usps never even bother to tap my doorbell? I would know at that time to run down to the lobby, since I was expecting a package. Did usps employee actually deliver package vs never delivered because when I saw delivered, I ran down to the lobby and never received my package, not even the next day. When I inquired with usps online regarding missing package, they merely sent me a screenshot of package delivered. I understand it may not be the employees responsibility to stand in lobbies and talk over intercoms, just tap bell and keep it moving, it's not difficult.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"February 2, 2026",1,I've been waiting for a specialized tool I need to complete a job on a customers engine. The expected delivery date was Saturday 1-31-26. I continuously checked the tracking number and noticed it showed it arrived at LOUISVILLE KY DISTRIBUTION CENTER but never showed departed. every day for 5 days the tracking number showed on its way to the next destination over and over when in fact it was just sitting there at LOUISVILLE KY DISTRIBUTION CENTER. now finally it shows it departed today on 2-2-26. so now I have to wait another week to get my package. ABSOLUTELY RIDICULOUS!,Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"February 1, 2026",1,"I sent the package on December 13th, and it was supposed to arrive at its destination in a week. Three weeks have passed and I don't know where the box is. Very poor service, completely unreliable. It's a shame I can't send it through Amazon.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"January 28, 2026",1,"The package was scanned as delivered but was not received at my address. I checked my mailbox and the cluster mailbox units, and the package was not present. I spoke directly with the USPS carrier for my route, who checked the mailbox unit and delivery vehicle and confirmed the package was not there. The carrier stated the item may have been scanned as delivered in error or could still be at the post office, and that he would look for it and attempt delivery if found. I submit a service request to document the issue and request assistance from the local post office.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"January 31, 2026",1,"CM243909638US A 0 rating service, this courier company didn't even want to take the package off the plane when it arrived in Bucharest, in 2 hours it was back in Germany. The package label doesn't say your phone number so the courier can call you in case there is one... the problem is the fault of the company that ships the packages. You can't find an email or phone number to talk to a human.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
"January 30, 2026",1,"USPS can lose a package easier than anyone I know. My package has been sitting in one spot six days and customer service is a JOKE! Seller said he would reship items but it is not his fault. If a business relied exclusively on USPS for deliveries, they could easily go out of business. Apparently USPS never reads their reviews or they just don't care. No wonder they lost 9.5 billion dollars last year.",Trustpilot – USPS (www.usps.com),2026-02-04T15:47:37.332534+00:00
6-Feb-26,1,"Truth is Stranger Than Fiction
What a public embarrassment.

Here is the latest gem: I sent a certified letter to be delivered nine blocks away in the same zip code on 26 Jan 26. As of today, 06 Feb, 26, it's not updated in the system or delivered. I made a ticket complaint and here is the response from USPS Customer Service, our Post Office:

""I have attempted to contact our counterparts in ******** both by email and phone; however, I have unfortunately been unable to reach them.""

My response was to send them a letter.",Trustpilot – USPS (www.usps.com),
6-Feb-26,1,"Falsely marking tracked mail orders as delivered
USPS is falsely marking tracked shipments as delivered. This is beyond frustrating to me because I lose all consumer protection provided by the company where I made the purchase. USPS is routinely doing this. Usually the package shows up the next day. On January 29th they classified my tracked mail as delivered, but that wasn’t true until Feb 2nd. And I have an EBay order that was marked delivered on February 2nd that is still missing. It’s February 6th. I don’t think I can just tell EBay “the post office is lying.”",Trustpilot – USPS (www.usps.com),
12-Dec-25,1,"TERRIBLE
TERRIBLE, TERRIBL, TERRIBLE!! Do not waste your money using the USPO. I have lost more money in a single holiday season shipping air than every before. Paid for air shipping and packages did not get to customer for 7 days. Customers have written negative reviews regarding my shipping and the shipping was not my fault. I had to return money on varies purchases due to the USPO failure to get my air shipments to customers on time!! I have lost a lot of money and no one has ever done a thing. I have called customer service, written the local post master, as well as the post master in Washington, DC. To date, they have done nothing!. They just don't give a damn about your packages. PERIOD!",Trustpilot – USPS (www.usps.com),
6-Feb-26,1,"Today I had to contact the post office cause Shein used a logistics name JCEX to delivery my package and they said they handed it over to the post office for final delivery. The whole tracking into you could tell was bogus. So u called post office and talked to a guy name Terry. He refused to help me
Said they did not deliver it and it wasn't their tracking numbers and they had nothing on it. But when I asked him could her send me email confirming this and he refused!! Said they didn't have nothing to do with it and Shein knew that, but Shein is telling me since it's marked delivered I can't get a refund 8 needed something from USPS. After saying they had nothing to do with it he refused to help me. I'm calling the BOG first thing Monday morning. For him to know the post office didn't have it and not to help me was unacceptable",Trustpilot – USPS (www.usps.com),
